,ADM,Credito,Entrada,Prazo,Parcelas,Cod,Vencimento,Transferencia,
Imovel,Mycon,186.835,110.200,194,690,C209,07/08/2025,"1.339,13",Disponivel
Imovel,Rodobens,187.000,96.500,135,1.425,C28,10/08/2025,"2.400,00",Disponivel
Imovel,Mycon,191.737,121.600,203,600,C209,08/08/2025,"1.250,00",Disponivel
Imovel,Magalu,194.676,89.000,77,2.528,C105,Consultar,Consultar,Disponivel
Imovel,Santander,197.000,82.000,131,1.464,C07,11/08/2025,Consultar,Disponivel
Imovel,Sponchiado,197.350,127.436,55,2.546,C01,15/08/2025,"250,00",Disponivel
Imovel,Mycon,200.000,95.000,212,1.102,C209,08/08/2025,"1.250,00",Disponivel
Imovel,Porto,202.500,98.000,189,1.265,C07,15/08/2025,Consultar,Disponivel
Imovel,Porto,203.000,102.000,189,1.022,C07,15/08/2025,Consultar,Disponivel
Imovel,Unicoob,205.600,117.000,124,1.212,C07,15/08/2025,Consultar,Disponivel
Imovel,Unicoob,205.600,117.500,124,1.214,C07,15/08/2025,Consultar,Disponivel
Imovel,Bradesco,209.000,119.000,181,887,C117,10/08/2025,Consultar,Disponivel
Imovel,Porto,209.000,105.500,117,1.709,C07,15/08/2025,Consultar,Disponivel
Imovel,Porto,210.840,105.000,195,"19 x 1.307,00 + 176 x 1.057,00",C07,15/08/2025,Consultar,Disponivel
Imovel,Porto,213.000,103.000,178,1.370,C11,15/07/2025,Consultar,Reservada
Imovel,Yamaha,214.500,90.900,133,1.771,C35,Consultar,Consultar,Disponivel
Imovel,Porto,215.100,107.000,166,1.197,C07,15/08/2025,Consultar,Disponivel
Imovel,Rodobens,219.000,106.900,134,18 x 1.133 + 116 x 1.695,C35,Consultar,Consultar,Disponivel
Imovel,Rodobens,221.000,141.500,59,2.311,C28,10/08/2025,"2.200,00",Disponivel
Imovel,Sponchiado,222.446,110.000,168,1.352,C01,15/08/2025,"250,00",Disponivel
Imovel,Caixa - J,223.500,91.000,164,159 x 1.501 + 05 x 657,C127,10/08/2025,Consultar ,Disponivel
Imovel,Porto,224.000,109.000,149,1.528,C28,15/08/2025,"3.334,00",Disponivel
Imovel,Porto,224.900,128.000,148,1.483,C127,15/08/2025,"3.212,00",Disponivel
Imovel,Porto,227.030,117.000,166,1.364,C07,15/08/2025,Consultar,Disponivel
Imovel,Porto,231.000,113.000,194,"18 x 1.436,00 + 176 x 1.161,00",C07,15/08/2025,Consultar,Disponivel
Imovel,Bradesco - J,232.500,147.000,56,2.033,C117,10/08/2025,Consultar,Disponivel
Imovel,Porto,236.000,112.900,154,1.517,C09,15/08/2025,Consultar,Disponivel
Imovel,Cnp,238.000,85.000,49,3.947,C07,11/08/2025,Consultar,Disponivel
Imovel,Yamaha,238.000,131.200,71,2.183,C07,15/08/2025,Consultar,Disponivel
Imovel,Sponchiado,242.050,137.180,55,3.626,C01,15/08/2025,"250,00",Disponivel
Imovel,Caixa,244.000,117.700,146,1.904,C07,10/08/2025,Consultar,Disponivel
Imovel,Cnp,248.000,85.000,51,4.214,C07,11/08/2025,Consultar,Disponivel
Imovel,Rodobens,250.000,105.900,177,1.766,C35,Consultar,Consultar,Disponivel
Imovel,Sponchiado,252.650,148.650,85,1.967,C01,15/08/2025,"250,00",Disponivel
Imovel,Rodobens,258.000,122.000,62,35 x 3.794 + 07 x 2.937 + 19 x 2.402 + 01 x 2.458,C28,10/08/2025,"3.350,00",Disponivel
Imovel,Sponchiado,259.700,116.285,55,4.148,C01,15/08/2025,"250,00",Disponivel
Imovel,Sponchiado,260.600,115.326,55,4.242,C01,15/08/2025,"250,00",Disponivel
Imovel,Sponchiado,263.600,114.962,55,4.362,C01,15/08/2025,"250,00",Disponivel
Imovel,Porto,266.610,138.000,148,07 x 1.770 + 141 x 1.665,C127,15/08/2025,"3.748,00",Disponivel
Imovel,Porto,270.300,186.500,144,1.257,C127,15/08/2025,"3.848,00",Disponivel
Imovel,Porto,270.300,199.250,144,1.257,C07,15/08/2025,Consultar,Disponivel
Imovel,Itau,279.242,106.990,46,7.888,C80,Consultar,"650,00",Disponivel
Imovel,Porto,280.000,134.000,194,"10 x 1.637,00 + 184 x 1.471,00",C07,15/08/2025,Consultar,Disponivel
Imovel,Mycon,280.793,133.000,190,1.545,C209,15/08/2025,"1.375,10",Disponivel
Imovel,Itau,284.655,51.990,30,10.400,C80,Consultar,"650,00",Destaque
Imovel,Porto,287.000,138.000,189,1.813,C10,15/08/2025,"2.870,00",Disponivel
Imovel,Porto,289.600,174.500,156,1.563,C127,15/08/2025,"4.109,00",Disponivel
Imovel,Porto,289.600,186.550,156,1.563,C07,15/08/2025,Consultar,Disponivel
Imovel,Itau,299.362,57.990,30,11.394,C80,Consultar,"650,00",Destaque
Imovel,Porto,300.000,137.900,189,1.868,C09,15/08/2025,Consultar,Disponivel
Imovel,Itau,301.180,57.990,30,12.445,C80,Consultar,"650,00",Destaque
Imovel,Itau,301.398,57.990,30,12.343,C80,Consultar,"650,00",Destaque
Imovel,Itau,301.398,67.990,30,11.021,C80,Consultar,"650,00",Destaque
Imovel,Cnp,305.000,124.000,127,3.034,C07,11/08/2025,Consultar,Disponivel
Imovel,Yamaha,312.000,148.000,185,1.725,C07,15/08/2025,Consultar,Disponivel
Imovel,Porto,315.000,143.000,178,2.003,C11,15/08/2025,Consultar,Disponível 
Imovel,Bradesco - J,316.000,161.000,164,1.586,C117,10/08/2025,Consultar,Disponivel
Imovel,Unicoob,316.600,193.000,176,1.220,C07,15/08/2025,Consultar,Disponivel
Imovel,Rodobens,318.000,156.000,114,2.530,C28,10/08/2025,"3.910,00",Disponivel
Imovel,Bradesco - J,321.000,175.000,82,2.492,C117,10/08/2025,Consultar,Disponivel
Imovel,Itau,333.601,77.790,26,14.797,C80,Consultar,"650,00",Destaque
 Imovel, Caixa,350.000,131.000,194,2.081, C23,10/08/2025,"4.500,00",Destaque
Imovel,Mycon,357.486,167.400,154,2.400,C209,08/08/2025,"2.173,39",Disponivel
Imovel,Porto,361.250,155.000,190,2.161,C70,15/08/2025,"3.600,00",Disponivel
Imovel,Porto,373.500,170.000,190,2.237,C10,15/08/2025,"3.700,00",Disponivel
Imovel,Mycon,390.795,189.600,132,2.415, C209,08/08/2025,"1.913,80",Disponivel
Imovel,Caixa,403.000,212.750,165,2.580,C07,10/08/2025,Consultar,Disponivel
Imovel,Rodobens,405.200,190.000,27,05 x 14.170 + 22 x 10.652,C28,10/08/2025,Consultar,Disponivel
Imovel,Itau,416.132,156.000,70,8.029,C15,20/08/2025,"650,00",Disponivel
Imovel,Itau,417.000,158.000,70,7.887,C15,20/08/2025,"650,00",Disponivel
Imovel,Porto,420.000,215.000,238,"10 x 2.029,00 + 228 x 1.779,00",C07,15/08/2025,Consultar,Disponivel
Imovel,Porto,430.000,280.000,179,2.020,C70,15/08/2025,"5.000,00",Disponivel
Imovel,Porto,430.000,292.750,179,2.020, C07,15/08/2025,Consultar,Disponivel
Imovel,Itau,433.198,89.990,36,13.883,C80,Consultar,"650,00",Destaque
Imovel,Porto,442.000,248.000,142,2.634,C34,15/07/2025,Consultar,Disponivel
Imovel,Porto,444.000,260.000,141,2.634,C10,15/08/2025,"4.450,00",Disponivel
Imovel,Porto,445.000,220.000,135,2.949,C11,15/08/2025,Consultar,Disponivel
Imovel,Bradesco - J,450.000,241.000,119,2.827,C117,10/08/2025,Consultar,Disponivel
Imovel,Porto,450.000,204.900,141,3.262,C09,15/08/2025,Consultar,Disponivel
Imovel,Mycon,450.408,209.000,201,2.672,C209,08/08/2025,"3.217,20",Disponivel
Imovel,Magalu,451.753,195.000,108,4.798,C105,Consultar,Consultar,Disponivel
Imovel,Bradesco - J,465.000,274.000,61,01 x 4.593 + 60 x 4.135,C117,10/08/2025,Consultar,Disponivel
Imovel,Cnp,478.000,186.000,127,4.646,C07,11/08/2025,Consultar,Disponivel
Imovel,Cnp,478.000,204.000,134,3.793,C07,11/08/2025,Consultar,Disponivel
Imovel,Itau,485.500,245.000,195,2.830,C07,15/08/2025,Consultar,Disponivel
Imovel,Rodobens,500.000,230.000,202,2.974,C11,15/07/2025,Consultar,Reservada
Imovel,Rodobens,500.000,232.000,191,2.974,C11,10/08/2025,Consultar,Disponivel
Imovel,Caixa,503.000,243.750,195,3.025,C07,10/08/2025,Consultar,Disponivel
Imovel,Rodobens,500.800,217.000,115,4.844,C15,10/08/2025,"5.000,00",Destaque
Imovel,Porto,515.500,277.750,150,3.125,C07,15/08/2025,Consultar,Disponivel
Imovel,Porto,519.000,275.000,131,3.527,C10,15/08/2025,"7.416,00",Disponivel
Imovel,Porto,519.100,292.740,131,3.527,C07,15/08/2025,Consultar,Disponivel
Imovel,Porto,522.780,275.000,131,3.570,C10,15/08/2025,"7.506,00",Disponivel
Imovel,Porto,531.000,207.000,97,09 x 6.421 + 88 x  5.160,C127,15/08/2025,"7.572,00",Disponivel
Imovel,Caixa,533.000,267.750,155,3.950,C07,10/08/2025,Consultar,Disponivel
Imovel,Bradesco - J,548.000,304.000,103,3.619,C117,10/08/2025,Consultar,Disponivel
Imovel,Caixa,555.000,260.750,192,3.240,C07,10/08/2025,Consultar,Disponivel
Imovel,Porto,594.000,294.000,105,"1 x 8.329,00 + 104 x 4.326,00",C07,15/08/2025,Consultar,Disponivel
Imovel,Caixa,612.000,286.750,180,3.935,C07,10/08/2025,Consultar,Disponivel
Imovel,Caixa,613.500,290.000,162,3.415,C127,10/08/2025,Consultar ,Disponível 
Imovel,Itau,616.000,300.000,186,3.682,C07,15/08/2025,Consultar,Disponivel
Imovel,Porto,635.000,320.000,131,3.840,C07,15/08/2025,Consultar,Disponivel
Imovel,Caixa,655.000,321.750,142,5.145,C07,10/08/2025,Consultar,Disponivel
Imovel,Cnp,656.000,226.000,75,"18 x 10.525,00 + 57 x 9.372,00",C07,11/08/2025,Consultar,Disponivel
Imovel,Bradesco - J,683.000,368.000,96,01 x 5.386 + 95 x 4.930,C117,10/08/2025,Consultar,Disponivel
Imovel,Porto,687.300,320.000,144,"2 x 3.003,00 + 142 x 4.412,00",C07,15/08/2025,Consultar,Disponivel
Imovel,Caixa,765.000,315.000,189,4.903,C127,10/08/2025,"9.000,00",Destaque
Imovel,Bradesco - J,781.000,435.000,89,5.722,C117,10/08/2025,Consultar,Disponivel
Imovel,Cnp,789.000,277.000,91,11.153,C15,10/08/2025,"10.800,00",Destaque
Imovel,Rodobens,798.000,395.300,51,23 x 13.800 + 26 x 10.485 + 02 x 8.621,C28,10/08/2025,"9.480,00",Disponivel
Imovel,Porto - J,820.000,500.000,157,120 x 4.975 + 37 x 2.473,C10,15/08/2025,"10.540,00",Disponivel
Imovel,Caixa,803.000,325.000,175,5.879,C127,10/08/2025,Consultar ,Destaque
Imovel,Magalu - J,903.508,395.000,108,9.597,C105,Consultar,Consultar,Disponivel
Imovel,Porto,967.300,454.000,157,"2 x 4.640,00 + 8 x 6.049,00 + 147 x 5.883,00",C07,15/08/2025,Consultar,Disponivel
Imovel,Rodobens - J ,1.000.000,470.000,199,5.948,C11,15/08/2025,Consultar,Disponivel
Imovel,Porto - J,1.040.000,520.000,133,7.024,C11,15/08/2025,Consultar,Disponivel
Imovel,Itau,1.100.000,549.000,185,6.409,C07,05/08/2025,Consultar,Disponivel
Imovel,Caixa - J,1.378.500,600.000,189,8.319 + 27 x 4.903,C127,10/08/2025,Consultar ,Disponivel
