,ADM,Credito,Entrada,Prazo,Parcelas,Cod,Vencimento,Transferencia,
Auto,Porto,52.700,17.000,34,1.734,C127,15/08/2025,"700,00",Disponivel
Auto,Porto,52.700,23.000,39,1.290,C127,15/08/2025,"700,00",Disponivel
Auto,Porto,53.000,21.000,36,1.410,C127,15/08/2025,"707,00",Disponivel
Auto,Porto,53.200,20.000,37,1.405,C127,15/08/2025,"750,00",Disponivel
Auto,Porto,53.290,22.000,37,1.320,C07,15/08/2025,Consultar,Disponivel
Auto,Porto,53.300,19.200,37,1.405,C07,15/08/2025,Consultar,Disponivel
Auto,Disal,53.500,16.500,42,1.824,C50,20/08/2025,"650,00",Disponivel
Auto,Disal,53.500,16.500,42,1.824,C50,20/08/2025,"650,00",Disponivel
Auto,Porto,53.500,18.500,41,1.316,C127,15/08/2025,Consultar,Disponivel
Auto,Disal,55.000,17.000,36,1.938,C50,20/08/2025,"650,00",Disponivel
Auto,Magalu,55.000,21.900,54,1.315,C105,Consultar,Consultar,Disponível
Auto,Volks,55.000,26.900,76,795,C09,15/08/2025,Consultar,Disponivel
Auto,Disal,55.200,17.000,47,1.550,C50,15/08/2025,650,Disponivel
Auto,Porto,55.600,19.500,39,1.415,C127,15/08/2025,"720,00",Disponivel
Auto,Porto,56.580,27.900,34,1.268,C07,15/08/2025,Consultar,Disponivel
Auto,Porto,57.760,18.500,26,2.166,C07,15/08/2025,Consultar,Disponivel
Auto,Porto,58.500,24.000,32,1.626,C07,15/08/2025,Consultar,Disponivel
Auto,Sicoob,59.100,15.000,37,"5 x 1.942,00 + 32 x 1.743,00",C07,11/08/2025,Consultar,Disponivel
Auto,Porto,59.880,32.200,29,1.716,C127,15/08/2025,"720,00",Disponivel
Auto,Porto,59.920,25.800,34,1.590,C07,15/08/2025,Consultar,Disponivel
Auto,Porto,60.430,27.200,34,1.551,C07,15/08/2025,Consultar,Disponivel
Auto,Porto,60.700,21.500,25,2.267,C07,15/08/2025,Consultar,Disponivel
Auto,Disal,63.500,21.000,38,1.907, C50,15/08/2025,650,Disponivel
Auto,Porto,64.360,20.500,29,2.150,C07,15/08/2025,Consultar,Disponivel
Auto,Porto,64.900,30.000,29,1.803,C07,15/08/2025,Consultar,Disponivel
Auto,Porto,65.130,21.500,30,2.032,C07,15/08/2025,Consultar,Disponivel
Auto,Porto,65.250,24.000,29,2.040,C07,15/08/2025,Consultar,Disponivel
Auto,Bradesco,65.700,41.000,43,970,C117,10/08/2025,"800,00",Disponivel
Auto,Mycon,66.600,24.980,76,1.016,C50,05/08/2025,Consultar,Disponivel
Auto,Itau,68.540,30.000,47,1.414,C70,05/08/2025,"650,00",Disponível
Auto,Itau,68.540,30.000,47,1.397,C70,05/08/2025,"650,00",Disponível
Auto,Itau-15,68.600,25.000,36,1.837,C62,05/08/2025,"650,00",Disponível
Auto,Itau,68.924,21.850,30,2.663,C131,05/08/2025,"650,00",Disponivel
Auto,Itau,81.200,31.000,45,2.142,C70,15/08/2025,"650,00",Disponível
Auto,Itau,82.077,18.000,27,3.461,C92,Consultar,650,Disponível
Auto,Itau,82.233,20.000,30,3.245,C92,Consultar,650,Disponível
Auto,Mycon - J,82.600,31.300,56," 1.341,00 + 20 x  1.016",C50,05/08/2025,Consultar,Disponivel
Auto,Itau,83.255,31.800,50,1.833,C131,15/08/2025,"650,00",Reservada
Auto,Bradesco,83.761,38.700,33,2.050,C131,10/08/2025,Consultar,Disponivel
Auto,Itau - J,84.400,20.000,42,2.469,C62,15/08/2025,"1.300,00",Disponível
Auto,Itau,86.377,21.650,27,3.671,C92,Consultar,650,Disponível
Auto,Bradesco,89.000,57.000,43,01 x 1.510 + 42 x 1.090,C117,10/08/2025,"800,00",Disponivel
Auto,Mycon - J,98.600,36.500,56, 1.666+ 20 x  1.016,C50,05/08/2025,Consultar,Disponivel
Auto,Mycon,101.107,35.567,57,1.998,C38,10/08/2025,Consultar,Disponivel
Auto,Bradesco,101.300,66.000,39,01 x 1.947 + 38 x 1.249,C117,10/08/2025,"800,00",Disponivel
Auto,Sponchiado,101.700,50.000,50,1.621,C01,15/08/2025,"250,00",Disponivel
Auto,Mycon,101.744,36.690,57,1.962,C38,08/08/2025,Consultar,Disponivel
Auto,Sponchiado,104.800,53.000,79,1.409,C01,15/08/2025,"250,00",Disponivel
Auto,Disal,108.000,30.000,38,3.460,C50,20/08/2025,650,Disponivel
Auto,Bradesco,108.963,51.790,31,3.009,C131,10/08/2025,Consultar,Disponivel
Auto,Mycon,109.367,39.997,58,1.947,C38,10/08/2025,Consultar,Disponivel
Auto,Itau,109.700,73.000,78,799,C127,Consultar,Consultar,Reservada
Auto,Itau,110.000,40.000,45,2.878,C70,15/08/2025,"650,00",Disponível
Auto,HS,113.200,46.200,82,1.447,C01,10/10/2025,"1.615,97",Disponivel
Auto,Mycon - J,114.600,42.800,56,"1.991,00 + 20 x  1.016",C50,05/08/2025,Consultar,Disponivel
Auto,Cnp,115.400,42.000,76,1.850,C07,15/08/2025,Consultar,Disponivel
Auto,Disal,123.000,32.500,50,3.085,C50,20/08/2025,650,Disponivel
Auto,Porto,123.300,40.000,37,3.395,C127,15/08/2025,"1.451,00",Disponivel
Auto,Itau,124.800,49.000,56,2.332,C62,15/08/2025,"650,00",Disponível
